player,position,squad,age,minutes,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,progressive_passes,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,progressive_carries
Ben Godfrey,DF,Everton,23-342,1219.0,0.06,0.03,0.09,0.06,0.09,20.0,1.4,16.0,0.0,1.0,1.0,0.0,27.0
André Gomes,MF,Everton,28-146,252.0,0.2,0.04,0.25,0.2,0.25,6.0,2.5,4.0,0.0,2.0,1.0,0.0,9.0
Joe Gomez,DF,Liverpool,24-214,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Goode,DF,Brentford,26-142,450.0,0.03,0.07,0.1,0.03,0.1,11.0,2.4,2.0,7.0,1.0,1.0,0.0,13.0
Anthony Gordon,"MF,FW",Everton,20-302,701.0,0.15,0.1,0.24,0.15,0.24,18.0,2.18,11.0,1.0,1.0,0.0,4.0,39.0
Dan Gosling,MF,Watford,31-325,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demarai Gray,"MF,FW",Everton,25-178,1236.0,0.19,0.15,0.34,0.19,0.34,22.0,3.13,25.0,5.0,7.0,1.0,5.0,95.0
Jack Grealish,FW,Manchester City,26-104,972.0,0.33,0.3,0.62,0.33,0.62,40.0,5.83,49.0,1.0,3.0,4.0,6.0,173.0
Mason Greenwood,FW,Manchester Utd,20-083,848.0,0.27,0.14,0.41,0.27,0.41,29.0,3.5,27.0,0.0,3.0,1.0,2.0,71.0
Sam Greenwood,MF,Leeds United,19-331,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pascal Groß,"MF,DF",Brighton,30-191,849.0,0.08,0.2,0.28,0.08,0.28,40.0,4.35,23.0,15.0,0.0,3.0,0.0,46.0
Vicente Guaita,GK,Crystal Palace,34-347,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc Guéhi,DF,Crystal Palace,21-163,1530.0,0.09,0.0,0.09,0.09,0.09,51.0,0.35,6.0,0.0,0.0,0.0,0.0,56.0
İlkay Gündoğan,MF,Manchester City,31-060,938.0,0.47,0.23,0.7,0.47,0.7,42.0,3.65,28.0,9.0,1.0,0.0,0.0,66.0
Grant Hanley,DF,Norwich City,30-033,1277.0,0.05,0.01,0.07,0.05,0.07,18.0,0.42,3.0,0.0,0.0,3.0,0.0,14.0
Jack Harrison,"MF,FW",Leeds United,25-033,1105.0,0.07,0.09,0.17,0.07,0.17,45.0,2.61,24.0,1.0,3.0,2.0,2.0,106.0
Kortney Hause,DF,Aston Villa,26-160,261.0,0.02,0.0,0.02,0.02,0.02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kai Havertz,"FW,MF",Chelsea,22-195,856.0,0.3,0.07,0.38,0.3,0.38,22.0,2.0,14.0,0.0,0.0,2.0,3.0,53.0
Isaac Hayden,"MF,DF",Newcastle Utd,26-276,1002.0,0.04,0.01,0.05,0.04,0.05,9.0,0.54,6.0,0.0,0.0,0.0,0.0,12.0
Hwang Hee-chan,"FW,MF",Wolves,25-331,979.0,0.2,0.09,0.29,0.2,0.29,13.0,1.1,9.0,0.0,1.0,2.0,0.0,52.0
Jordan Henderson,MF,Liverpool,31-189,1228.0,0.07,0.17,0.24,0.07,0.24,81.0,3.15,39.0,2.0,2.0,0.0,0.0,64.0
Jeff Hendrick,MF,Newcastle Utd,29-326,72.0,0.04,0.06,0.1,0.04,0.1,1.0,1.25,1.0,0.0,0.0,0.0,0.0,1.0
Rico Henry,DF,Brentford,24-168,1374.0,0.07,0.04,0.11,0.07,0.11,47.0,1.51,19.0,0.0,3.0,0.0,1.0,47.0
Son Heung-min,"FW,MF",Tottenham,29-168,1228.0,0.38,0.19,0.57,0.38,0.57,25.0,3.3,25.0,14.0,1.0,4.0,0.0,73.0
Ki-Jana Hoever,DF,Wolves,19-339,194.0,0.01,0.02,0.03,0.01,0.03,6.0,1.39,3.0,0.0,0.0,0.0,0.0,8.0
Rob Holding,"DF,MF",Arsenal,26-094,202.0,0.06,0.0,0.06,0.06,0.06,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mason Holgate,DF,Everton,25-062,518.0,0.04,0.0,0.04,0.04,0.04,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Callum Hudson-Odoi,"FW,MF",Chelsea,21-046,596.0,0.18,0.3,0.48,0.18,0.48,23.0,5.44,26.0,0.0,7.0,2.0,1.0,74.0
Will Hughes,MF,Crystal Palace,26-250,173.0,0.0,0.17,0.17,0.0,0.17,2.0,1.56,0.0,1.0,0.0,0.0,1.0,7.0
Pierre Højbjerg,MF,Tottenham,26-140,1259.0,0.06,0.05,0.12,0.06,0.12,63.0,2.0,23.0,1.0,2.0,0.0,1.0,55.0
Adam Idah,FW,Norwich City,20-287,179.0,0.64,0.22,0.86,0.64,0.86,3.0,1.51,3.0,0.0,0.0,0.0,0.0,8.0
Kelechi Iheanacho,"FW,MF",Leicester City,25-081,447.0,0.26,0.26,0.52,0.26,0.52,15.0,3.62,12.0,1.0,2.0,1.0,0.0,23.0
Danny Ings,FW,Aston Villa,29-153,871.0,0.23,0.07,0.3,0.15,0.22,13.0,1.14,8.0,0.0,1.0,1.0,0.0,14.0
Alex Iwobi,"MF,FW",Everton,25-234,714.0,0.13,0.14,0.27,0.13,0.27,22.0,2.52,19.0,0.0,0.0,1.0,0.0,40.0
Daniel James,"FW,MF",Leeds United,24-043,1056.0,0.16,0.09,0.25,0.16,0.25,25.0,2.39,17.0,0.0,3.0,2.0,5.0,69.0
Daniel James,FW,Manchester Utd,24-043,126.0,0.17,0.01,0.19,0.17,0.19,0.0,2.14,2.0,0.0,0.0,1.0,0.0,10.0
Reece James,DF,Chelsea,22-015,998.0,0.15,0.3,0.45,0.15,0.45,60.0,4.15,34.0,6.0,3.0,2.0,1.0,80.0
Vitaly Janelt,MF,Brentford,23-227,1005.0,0.1,0.09,0.2,0.1,0.2,47.0,2.15,18.0,2.0,1.0,1.0,1.0,28.0
Pontus Jansson,DF,Brentford,30-313,1431.0,0.09,0.03,0.12,0.09,0.12,29.0,0.44,4.0,0.0,0.0,3.0,0.0,18.0
Mathias Jensen,MF,Brentford,25-356,523.0,0.02,0.18,0.2,0.02,0.2,24.0,3.79,10.0,12.0,0.0,0.0,0.0,28.0
Gabriel Jesus,FW,Manchester City,24-264,1138.0,0.39,0.27,0.66,0.39,0.66,37.0,3.4,33.0,0.0,5.0,5.0,0.0,98.0
Raúl Jiménez,FW,Wolves,30-232,1394.0,0.21,0.1,0.31,0.21,0.31,25.0,2.52,24.0,0.0,4.0,5.0,3.0,54.0
Joelinton,"MF,FW",Newcastle Utd,25-131,1123.0,0.1,0.07,0.17,0.1,0.17,30.0,2.4,20.0,0.0,2.0,3.0,4.0,49.0
Ben Johnson,DF,West Ham,21-333,675.0,0.01,0.04,0.05,0.01,0.05,27.0,0.8,6.0,0.0,0.0,0.0,0.0,24.0
Curtis Jones,MF,Liverpool,20-327,322.0,0.12,0.04,0.17,0.12,0.17,8.0,1.96,3.0,0.0,0.0,2.0,2.0,30.0
Jorginho,MF,Chelsea,30-003,1173.0,0.25,0.13,0.38,0.02,0.15,63.0,2.38,25.0,1.0,0.0,2.0,2.0,50.0
Diogo Jota,FW,Liverpool,25-019,1214.0,0.75,0.24,0.99,0.75,0.99,39.0,3.71,32.0,0.0,11.0,1.0,4.0,64.0
Mathias Jørgensen,DF,Brentford,31-244,428.0,0.02,0.02,0.04,0.02,0.04,13.0,1.26,3.0,2.0,0.0,1.0,0.0,10.0
Ozan Kabak,DF,Norwich City,21-273,652.0,0.03,0.0,0.03,0.03,0.03,12.0,0.97,2.0,0.0,1.0,1.0,2.0,12.0
Christian Kabasele,DF,Watford,30-302,203.0,0.1,0.0,0.1,0.1,0.1,2.0,0.89,2.0,0.0,0.0,0.0,0.0,3.0
Harry Kane,FW,Tottenham,28-148,1189.0,0.44,0.2,0.63,0.44,0.63,31.0,2.2,21.0,0.0,2.0,4.0,2.0,37.0
N'Golo Kanté,MF,Chelsea,30-269,585.0,0.12,0.07,0.19,0.12,0.19,41.0,2.0,11.0,0.0,1.0,1.0,0.0,45.0
Moise Kean,FW,Everton,21-298,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Keane,DF,Everton,28-346,1530.0,0.05,0.03,0.08,0.05,0.08,40.0,0.59,7.0,0.0,0.0,3.0,0.0,27.0
Naby Keïta,MF,Liverpool,26-316,469.0,0.19,0.17,0.36,0.19,0.36,27.0,3.45,14.0,0.0,0.0,2.0,0.0,39.0
Caoimhín Kelleher,GK,Liverpool,23-030,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonjoe Kenny,DF,Everton,24-283,101.0,0.02,0.0,0.02,0.02,0.02,2.0,0.89,1.0,0.0,0.0,0.0,0.0,1.0
Max Kilman,DF,Wolves,24-214,1619.0,0.04,0.0,0.04,0.04,0.04,57.0,0.28,4.0,0.0,1.0,0.0,0.0,71.0
Joshua King,FW,Watford,29-342,1086.0,0.48,0.16,0.64,0.41,0.58,12.0,2.4,22.0,0.0,2.0,2.0,2.0,35.0
Mateusz Klich,MF,Leeds United,31-193,856.0,0.14,0.16,0.3,0.14,0.3,40.0,3.68,28.0,1.0,1.0,1.0,3.0,44.0
Robin Koch,"MF,DF",Leeds United,25-159,180.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sead Kolašinac,DF,Arsenal,28-186,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahima Konaté,DF,Liverpool,22-212,540.0,0.0,0.02,0.02,0.0,0.02,26.0,0.67,4.0,0.0,0.0,0.0,0.0,16.0
Ezri Konsa,DF,Aston Villa,24-061,1397.0,0.08,0.02,0.1,0.08,0.1,18.0,0.39,6.0,0.0,0.0,0.0,0.0,15.0
Cheikhou Kouyaté,MF,Crystal Palace,32-002,1140.0,0.01,0.04,0.05,0.01,0.05,32.0,1.11,12.0,0.0,1.0,0.0,0.0,16.0
Mateo Kovačić,MF,Chelsea,27-231,728.0,0.14,0.22,0.35,0.14,0.35,52.0,3.96,29.0,0.0,0.0,1.0,2.0,62.0
Emil Krafth,DF,Newcastle Utd,27-143,452.0,0.03,0.01,0.04,0.03,0.04,8.0,0.4,1.0,0.0,0.0,1.0,0.0,7.0
Tim Krul,GK,Norwich City,33-264,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,2.0,2.0,0.0,0.0,0.0,0.0
Juraj Kucka,MF,Watford,34-300,1002.0,0.12,0.01,0.13,0.12,0.13,28.0,1.71,13.0,0.0,3.0,0.0,2.0,34.0
Alexandre Lacazette,"FW,MF",Arsenal,30-209,704.0,0.4,0.11,0.51,0.3,0.42,20.0,4.09,22.0,0.0,2.0,1.0,6.0,19.0
Adam Lallana,MF,Brighton,33-227,1075.0,0.07,0.04,0.11,0.07,0.11,38.0,1.51,15.0,0.0,1.0,0.0,2.0,47.0
Tariq Lamptey,"DF,FW",Brighton,21-084,491.0,0.06,0.16,0.22,0.06,0.22,16.0,4.03,13.0,0.0,3.0,2.0,2.0,50.0
Manuel Lanzini,"MF,FW",West Ham,28-311,369.0,0.23,0.24,0.47,0.04,0.28,13.0,2.68,8.0,1.0,0.0,0.0,1.0,26.0
Aymeric Laporte,DF,Manchester City,27-210,1180.0,0.19,0.01,0.2,0.19,0.2,82.0,1.3,15.0,0.0,0.0,2.0,0.0,139.0
Jamaal Lascelles,DF,Newcastle Utd,28-042,1260.0,0.04,0.0,0.04,0.04,0.04,9.0,0.36,5.0,0.0,0.0,0.0,0.0,6.0
Pierre Lees-Melou,MF,Norwich City,28-212,867.0,0.08,0.09,0.17,0.08,0.17,43.0,2.49,20.0,1.0,0.0,0.0,1.0,25.0
Aaron Lennon,MF,Burnley,34-251,115.0,0.12,0.0,0.12,0.12,0.12,2.0,0.78,0.0,0.0,0.0,0.0,1.0,4.0
Bernd Leno,GK,Arsenal,29-294,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamal Lewis,DF,Newcastle Utd,23-332,262.0,0.0,0.01,0.01,0.0,0.01,4.0,0.69,2.0,0.0,0.0,0.0,0.0,4.0
Victor Lindelöf,DF,Manchester Utd,27-159,1087.0,0.01,0.04,0.04,0.01,0.04,24.0,0.41,5.0,0.0,0.0,0.0,0.0,29.0
Jesse Lingard,FW,Manchester Utd,29-008,95.0,0.28,0.09,0.37,0.28,0.37,4.0,3.79,4.0,0.0,0.0,0.0,0.0,6.0
Valentino Livramento,DF,Southampton,19-041,1525.0,0.04,0.08,0.12,0.04,0.12,45.0,1.3,19.0,0.0,1.0,0.0,2.0,94.0
Diego Llorente,DF,Leeds United,28-129,1086.0,0.03,0.01,0.03,0.03,0.03,33.0,0.41,5.0,0.0,0.0,0.0,0.0,31.0
Hugo Lloris,GK,Tottenham,34-362,1350.0,0.0,0.03,0.03,0.0,0.03,0.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0
Giovani Lo Celso,"MF,FW",Tottenham,25-258,213.0,0.31,0.27,0.58,0.31,0.58,6.0,3.8,4.0,2.0,0.0,1.0,2.0,19.0
Jürgen Locadia,FW,Brighton,28-046,23.0,0.45,0.0,0.45,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruben Loftus-Cheek,MF,Chelsea,25-334,697.0,0.12,0.1,0.22,0.12,0.22,40.0,2.84,13.0,0.0,2.0,3.0,2.0,64.0
Shane Long,"FW,MF",Southampton,34-335,38.0,0.73,0.0,0.73,0.73,0.73,1.0,2.37,0.0,0.0,0.0,0.0,1.0,0.0
Sean Longstaff,MF,Newcastle Utd,24-054,756.0,0.11,0.03,0.14,0.11,0.14,17.0,1.31,8.0,1.0,0.0,1.0,0.0,7.0
Ademola Lookman,"FW,MF",Leicester City,24-064,586.0,0.3,0.16,0.46,0.3,0.46,18.0,2.92,14.0,0.0,1.0,1.0,2.0,33.0
Imran Louza,MF,Watford,22-236,283.0,0.04,0.07,0.11,0.04,0.11,17.0,2.23,0.0,5.0,0.0,1.0,1.0,5.0
Matthew Lowton,DF,Burnley,32-197,1334.0,0.04,0.06,0.1,0.04,0.1,63.0,1.69,19.0,4.0,0.0,1.0,1.0,45.0
Douglas Luiz,MF,Aston Villa,23-228,1052.0,0.03,0.1,0.13,0.03,0.13,39.0,2.65,18.0,8.0,1.0,1.0,3.0,39.0
Romelu Lukaku,FW,Chelsea,28-224,695.0,0.41,0.25,0.66,0.41,0.66,5.0,2.59,14.0,0.0,3.0,1.0,2.0,21.0
Lyanco,DF,Southampton,24-325,351.0,0.04,0.04,0.08,0.04,0.08,10.0,1.54,4.0,0.0,1.0,1.0,0.0,7.0
Alexis Mac Allister,"MF,FW",Brighton,22-364,325.0,0.46,0.02,0.48,0.25,0.27,15.0,2.77,8.0,0.0,0.0,1.0,1.0,23.0
James Maddison,"MF,FW",Leicester City,25-030,1004.0,0.29,0.17,0.45,0.29,0.45,42.0,3.32,23.0,3.0,5.0,2.0,4.0,55.0
Harry Maguire,DF,Manchester Utd,28-293,1214.0,0.05,0.0,0.06,0.05,0.06,34.0,0.74,5.0,2.0,0.0,2.0,1.0,51.0
Riyad Mahrez,FW,Manchester City,30-305,667.0,0.43,0.34,0.77,0.43,0.77,31.0,4.45,26.0,5.0,0.0,2.0,0.0,71.0
Ainsley Maitland-Niles,MF,Arsenal,24-116,268.0,0.01,0.12,0.13,0.01,0.13,13.0,2.69,5.0,1.0,0.0,1.0,0.0,10.0
Sadio Mané,FW,Liverpool,29-257,1532.0,0.52,0.16,0.68,0.52,0.68,54.0,3.0,38.0,0.0,0.0,8.0,2.0,114.0
Javier Manquillo,DF,Newcastle Utd,27-232,945.0,0.05,0.03,0.08,0.05,0.08,16.0,0.57,6.0,0.0,0.0,0.0,0.0,15.0
Fernando Marçal,DF,Wolves,32-307,864.0,0.04,0.01,0.05,0.04,0.05,30.0,0.83,7.0,0.0,0.0,1.0,0.0,57.0
Solly March,"DF,FW",Brighton,27-156,764.0,0.1,0.12,0.22,0.1,0.22,23.0,3.42,18.0,7.0,2.0,0.0,1.0,46.0
Pablo Marí,DF,Arsenal,28-114,180.0,0.15,0.05,0.21,0.15,0.21,8.0,0.5,1.0,0.0,0.0,0.0,0.0,4.0
Anthony Martial,FW,Manchester Utd,26-018,203.0,0.16,0.07,0.22,0.16,0.22,7.0,0.89,2.0,0.0,0.0,0.0,0.0,15.0
Martinelli,"MF,FW",Arsenal,20-188,608.0,0.34,0.14,0.49,0.34,0.49,5.0,2.96,13.0,3.0,0.0,3.0,0.0,30.0
Emiliano Martínez,GK,Aston Villa,29-112,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
Adam Masina,DF,Watford,27-355,686.0,0.01,0.07,0.08,0.01,0.08,24.0,1.18,5.0,3.0,0.0,0.0,0.0,15.0
Arthur Masuaku,"DF,FW",West Ham,28-046,318.0,0.02,0.01,0.03,0.02,0.03,13.0,1.13,2.0,2.0,0.0,0.0,0.0,16.0
Jean-Philippe Mateta,FW,Crystal Palace,24-178,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nemanja Matić,MF,Manchester Utd,33-144,474.0,0.02,0.1,0.13,0.02,0.13,31.0,2.09,10.0,0.0,0.0,0.0,0.0,41.0
Joël Matip,DF,Liverpool,30-137,1260.0,0.08,0.01,0.09,0.08,0.09,76.0,1.14,13.0,0.0,0.0,2.0,1.0,114.0
Neal Maupay,FW,Brighton,25-131,1017.0,0.43,0.07,0.5,0.36,0.43,13.0,2.04,18.0,0.0,0.0,2.0,3.0,29.0
Bryan Mbeumo,FW,Brentford,22-138,1277.0,0.38,0.1,0.48,0.33,0.43,19.0,2.18,20.0,3.0,5.0,2.0,0.0,45.0
James McArthur,MF,Crystal Palace,34-077,950.0,0.02,0.07,0.1,0.02,0.1,45.0,1.89,17.0,0.0,1.0,0.0,1.0,42.0
James Mcatee,FW,Manchester City,19-066,4.0,0.95,0.0,0.95,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kasey McAteer,FW,Leicester City,20-031,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liam McCarron,FW,Leeds United,20-291,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alex McCarthy,GK,Southampton,32-020,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0
John McGinn,MF,Aston Villa,27-066,1386.0,0.04,0.15,0.19,0.04,0.19,74.0,2.73,25.0,12.0,1.0,1.0,3.0,59.0
Stuart McKinstry,MF,Leeds United,19-096,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny McLean,MF,Norwich City,29-349,1395.0,0.07,0.03,0.1,0.07,0.1,46.0,1.23,13.0,2.0,0.0,2.0,0.0,46.0
Dwight McNeil,MF,Burnley,22-031,1331.0,0.04,0.15,0.19,0.04,0.19,26.0,2.64,24.0,9.0,2.0,1.0,3.0,83.0
Scott McTominay,MF,Manchester Utd,25-015,1030.0,0.04,0.1,0.14,0.04,0.14,42.0,1.22,14.0,0.0,0.0,0.0,0.0,39.0
Ben Mee,DF,Burnley,32-091,990.0,0.09,0.0,0.09,0.09,0.09,25.0,0.55,4.0,0.0,0.0,0.0,2.0,9.0
Benjamin Mendy,DF,Manchester City,27-159,78.0,0.0,0.3,0.3,0.0,0.3,8.0,4.62,4.0,0.0,0.0,0.0,0.0,8.0
Edouard Mendy,GK,Chelsea,29-297,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
Illan Meslier,GK,Leeds United,21-296,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
Luka Milivojević,MF,Crystal Palace,30-260,468.0,0.03,0.04,0.06,0.03,0.06,29.0,0.77,2.0,2.0,0.0,0.0,0.0,16.0
James Milner,"MF,DF",Liverpool,35-353,505.0,0.03,0.23,0.26,0.03,0.26,40.0,2.67,10.0,3.0,1.0,1.0,0.0,23.0
Yerry Mina,DF,Everton,27-091,488.0,0.02,0.0,0.02,0.02,0.02,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Takumi Minamino,"FW,MF",Liverpool,26-341,46.0,1.57,0.0,1.57,1.57,1.57,1.0,3.91,1.0,0.0,0.0,0.0,1.0,3.0
Tyrone Mings,DF,Aston Villa,28-285,1389.0,0.04,0.01,0.05,0.04,0.05,37.0,0.65,6.0,0.0,0.0,3.0,1.0,21.0
Tyrick Mitchell,DF,Crystal Palace,22-113,1529.0,0.0,0.04,0.04,0.0,0.04,67.0,1.12,16.0,1.0,0.0,1.0,0.0,42.0
Jakub Moder,"MF,FW",Brighton,22-260,873.0,0.15,0.12,0.27,0.15,0.27,36.0,2.16,12.0,2.0,2.0,4.0,0.0,44.0
Wesley Moraes,FW,Aston Villa,25-027,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Morton,MF,Liverpool,19-053,66.0,0.0,0.0,0.0,0.0,0.0,3.0,1.36,1.0,0.0,0.0,0.0,0.0,2.0
Mason Mount,"FW,MF",Chelsea,22-347,978.0,0.47,0.31,0.78,0.4,0.71,46.0,3.96,26.0,9.0,3.0,2.0,3.0,63.0
Lucas Moura,"FW,MF",Tottenham,29-132,1001.0,0.14,0.1,0.24,0.14,0.24,48.0,3.15,26.0,0.0,3.0,2.0,3.0,85.0
João Moutinho,MF,Wolves,35-106,1479.0,0.04,0.1,0.14,0.04,0.14,63.0,1.89,19.0,8.0,0.0,1.0,0.0,68.0
Bali Mumba,DF,Norwich City,20-076,45.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jacob Murphy,"DF,MF",Newcastle Utd,26-302,746.0,0.11,0.11,0.21,0.11,0.21,26.0,1.93,14.0,0.0,2.0,0.0,0.0,55.0
Enock Mwepu,MF,Brighton,23-356,434.0,0.28,0.03,0.31,0.28,0.31,9.0,2.28,8.0,0.0,0.0,1.0,2.0,15.0
Marvelous Nakamba,MF,Aston Villa,27-338,758.0,0.0,0.01,0.01,0.0,0.01,26.0,0.71,5.0,0.0,0.0,0.0,1.0,14.0
Wilfred Ndidi,MF,Leicester City,25-007,1080.0,0.07,0.0,0.07,0.07,0.07,37.0,0.58,4.0,0.0,0.0,3.0,0.0,31.0
Tanguy Ndombele,MF,Tottenham,24-360,472.0,0.09,0.07,0.17,0.09,0.17,17.0,2.48,10.0,0.0,1.0,1.0,1.0,51.0
Reiss Nelson,FW,Arsenal,22-013,20.0,0.16,0.18,0.35,0.16,0.35,1.0,13.5,2.0,0.0,0.0,1.0,0.0,0.0
Rúben Neves,MF,Wolves,24-285,1346.0,0.04,0.09,0.13,0.04,0.13,68.0,1.94,24.0,2.0,0.0,1.0,1.0,52.0
Jeremy Ngakia,DF,Watford,21-107,493.0,0.01,0.04,0.05,0.01,0.05,19.0,1.1,4.0,2.0,0.0,0.0,0.0,15.0
Saúl Ñíguez,MF,Chelsea,27-032,164.0,0.07,0.0,0.07,0.07,0.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Eddie Nketiah,"FW,MF",Arsenal,22-207,41.0,0.76,0.68,1.44,0.76,1.44,2.0,6.59,3.0,0.0,0.0,0.0,0.0,5.0
Nicolas Nkoulou,DF,Watford,31-271,168.0,0.0,0.01,0.01,0.0,0.01,1.0,0.54,1.0,0.0,0.0,0.0,0.0,0.0
Mark Noble,FW,West Ham,34-229,4.0,17.1,0.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathias Normann,MF,Norwich City,25-209,703.0,0.09,0.05,0.14,0.09,0.14,30.0,2.82,9.0,2.0,4.0,3.0,2.0,24.0
Christian Nørgaard,MF,Brentford,27-288,1406.0,0.13,0.07,0.21,0.13,0.21,75.0,1.22,17.0,0.0,1.0,1.0,0.0,41.0
Angelo Ogbonna,DF,West Ham,33-214,921.0,0.03,0.0,0.03,0.03,0.03,10.0,0.2,2.0,0.0,0.0,0.0,0.0,6.0
Michael Olise,"FW,MF",Crystal Palace,20-011,298.0,0.1,0.31,0.4,0.1,0.4,20.0,3.62,9.0,1.0,0.0,1.0,1.0,43.0
